u,v,base_distance,crowd_cost,is_stairs,is_elevator,is_blocked
A101,A102,12,0.5,0,0,0
A102,A109,8,0.6,0,0,0
A102,A110,10,0.4,0,0,0
A101,A121,10,0.8,0,0,0
A201,A202,12,0.2,0,0,0
A202,A204,10,0.5,0,0,0
A204,A205,6,0.4,0,0,0
A205,A206,6,0.6,0,0,0
A206,A209,8,0.5,0,0,0
A209,A210,8,0.3,0,0,0
A301,A302,12,0.4,0,0,0
A302,A308,10,0.2,0,0,0
A308,A309,9,0.3,0,0,0
A309,A310,7,0.2,0,0,0
A310,A311,6,0.3,0,0,0
A311,A342,5,0.1,0,0,0
STAIRS_A1,STAIRS_A2,3,0.1,1,0,0
STAIRS_A2,STAIRS_A3,3,0.1,1,0,0
A101,STAIRS_A1,3,0.2,1,0,0
A102,STAIRS_A1,3,0.3,1,0,0
STAIRS_A2,ELEV_A_1,4,0.3,1,1,0
A110,A101,12,0.5,0,0,0
A121,A101,10,0.7,0,0,0
A121,A110,10,0.7,0,0,0
A121,A109,12,0.6,0,0,0
A201,A202,12,0.3,0,0,0
A201,A204,10,0.4,0,0,0
A204,A205,6,0.4,0,0,0
A205,A206,6,0.5,0,0,0
A206,A209,8,0.4,0,0,0
A209,A210,8,0.3,0,0,0
A301,A302,12,0.4,0,0,0
A302,A308,10,0.3,0,0,0
A308,A309,9,0.3,0,0,0
A309,A310,7,0.2,0,0,0
A310,A311,6,0.3,0,0,0
A311,A342,5,0.1,0,0,0
A110,STAIRS_A1,5,0.3,1,0,0
A121,STAIRS_A1,5,0.4,1,0,0
A201,STAIRS_A2,5,0.2,1,0,0
A202,STAIRS_A2,5,0.3,1,0,0
A204,STAIRS_A2,6,0.3,1,0,0
A205,STAIRS_A2,6,0.4,1,0,0
A206,STAIRS_A2,6,0.5,1,0,0
A209,STAIRS_A2,7,0.3,1,0,0
A210,STAIRS_A2,7,0.4,1,0,0
A301,STAIRS_A3,8,0.5,1,0,0
A302,STAIRS_A3,8,0.4,1,0,0
A308,STAIRS_A3,9,0.4,1,0,0
A309,STAIRS_A3,9,0.3,1,0,0
A310,STAIRS_A3,10,0.4,1,0,0
A311,STAIRS_A3,10,0.3,1,0,0
TOILET_A1,A101,5,0.2,0,0,0
TOILET_A1,A102,5,0.2,0,0,0
TOILET_A2,A201,6,0.3,0,0,0
TOILET_A2,A202,6,0.3,0,0,0
TOILET_A3,A301,7,0.4,0,0,0
TOILET_A3,A302,7,0.4,0,0,0
ELEV_A_1,ELEV_A_2,4,0.0,0,1,0
ELEV_A_2,ELEV_A_3,4,0.0,0,1,0
ELEV_A_2,STAIRS_A2,2,0.2,0,0,0
ELEV_A_3,STAIRS_A3,2,0.2,0,0,0
ELEV_A_1,STAIRS_A1,2,0.2,0,0,0
