u,v,base_distance,crowd_cost,is_stairs,is_elevator,is_blocked
B001,B002,12,0.5,0,0,0
B002,B013,8,0.6,0,0,0
B002,CANTEEN,10,2.0,0,0,0
CANTEEN,TOILET_B1,6,1.0,0,0,0
B013,STAIRS_B1,4,0.2,0,0,0
B001,ELEV_A_B1,5,0.1,0,0,0
B013,ELEV_B_B1,6,0.3,0,0,0
STAIRS_B1,STAIRS_1,3,0.0,1,0,0
STAIRS_1,STAIRS_2,3,0.0,1,0,0
ELEV_A_B1,ELEV_A_1,5,0.0,0,1,0
ELEV_B_B1,ELEV_B_1,5,0.0,0,1,0
STAIRS_2,B201,6,0.2,1,0,0
ELEV_A_2,B202,5,0.1,0,1,0
ELEV_B_2,B203,6,0.2,0,1,0
B201,B202,10,0.4,0,0,0
B202,B203,8,0.3,0,0,0
B203,STAIRS_2,4,0.1,1,0,0
B203,ELEV_A_2,5,0.1,0,1,0
B201,ELEV_B_2,5,0.1,0,1,0
PARKING,ELEV_A_B2,6,0.1,0,1,0
PARKING,ELEV_B_B2,7,0.0,0,1,0
B101,B102,10,0.4,0,0,0
B101,B103,8,0.3,0,0,0
B102,B103,7,0.3,0,0,0
B101,MAJLIS,6,0.4,0,0,0
B102,MAJLIS,6,0.4,0,0,0
B103,MAJLIS,6,0.4,0,0,0
B201,B202,10,0.4,0,0,0
B202,B203,8,0.3,0,0,0
B201,B203,12,0.5,0,0,0
B101,STAIRS_1,4,0.3,1,0,0
B102,STAIRS_1,4,0.3,1,0,0
B103,STAIRS_1,4,0.3,1,0,0
B101,ELEV_A_1,5,0.2,0,1,0
B102,ELEV_A_1,5,0.2,0,1,0
B103,ELEV_A_1,5,0.2,0,1,0
B101,ELEV_B_1,5,0.2,0,1,0
B102,ELEV_B_1,5,0.2,0,1,0
B103,ELEV_B_1,5,0.2,0,1,0
B201,STAIRS_2,6,0.2,1,0,0
B202,STAIRS_2,6,0.2,1,0,0
B203,STAIRS_2,6,0.2,1,0,0
B201,ELEV_A_2,5,0.1,0,1,0
B202,ELEV_A_2,5,0.1,0,1,0
B203,ELEV_A_2,5,0.1,0,1,0
B201,ELEV_B_2,5,0.1,0,1,0
B202,ELEV_B_2,5,0.1,0,1,0
B203,ELEV_B_2,5,0.1,0,1,0
TOILET_B1,B101,3,0.1,0,0,0
TOILET_B1,B102,3,0.1,0,0,0
TOILET_B1,B103,3,0.1,0,0,0
TOILET_B2,B201,4,0.2,0,0,0
TOILET_B2,B202,4,0.2,0,0,0
TOILET_B2,B203,4,0.2,0,0,0
ELEV_A_B2,ELEV_A_B1,4,0.0,0,1,0
ELEV_B_B2,ELEV_B_B1,4,0.0,0,1,0
ELEV_A_1,ELEV_A_2,4,0.0,0,1,0
ELEV_B_1,ELEV_B_2,4,0.0,0,1,0
ELEV_A_2,ELEV_A_B3,4,0.0,0,1,0
ELEV_B_2,ELEV_B_B3,4,0.0,0,1,0
STAIRS_2,STAIRS_3,3,0.0,1,0,0
B301,B302,10,0.4,0,0,0
B301,STAIRS_3,6,0.2,0,0,0
B302,STAIRS_3,6,0.2,0,0,0
ELEV_A_B3,STAIRS_3,4,0.2,0,0,0
ELEV_B_B3,STAIRS_3,4,0.2,0,0,0
TOILET_B4,B301,5,0.2,0,0,0
TOILET_B4,B302,5,0.2,0,0,0
