u,v,base_distance,crowd_cost,is_stairs,is_elevator,is_blocked
C101,CANTEEN,8,0.5,0,0,0
CANTEEN,TOILET_C1,6,0.3,0,0,0
C205,C206,10,0.2,0,0,0
C205,TOILET_C2,12,0.4,0,0,0
C206,TOILET_C2,10,0.3,0,0,0
STAIRS_C1,STAIRS_C2,3,0.0,1,0,0
STAIRS_C1,ELEV_A_C1,5,0.0,0,1,0
STAIRS_C2,ELEV_A_C2,5,0.0,0,1,0
ELEV_A_C1,ELEV_A_C2,7,0.1,0,1,0
C101,STAIRS_C1,5,0.2,1,0,0
C101,ELEV_A_C1,5,0.2,0,1,0
C206,STAIRS_C2,7,0.3,1,0,0
C206,ELEV_A_C2,6,0.3,0,1,0
TOILET_C1,C101,3,0.2,0,0,0
TOILET_C2,C205,4,0.3,0,0,0
TOILET_C2,C206,4,0.3,0,0,0
C205,STAIRS_C2,7,0.3,0,0,0
C205,ELEV_A_C2,6,0.3,0,0,0
