u,v,base_distance,crowd_cost,is_stairs,is_elevator,is_blocked
E001,E002,8,0.2,0,0,0
E002,E003,10,0.3,0,0,0
E103,E104,8,0.1,0,0,0
E104,E105,7,0.2,0,0,0
E105,E106,6,0.3,0,0,0
E106,E107,5,0.4,0,0,0
E111,E112,8,0.3,0,0,0
E112,E125,12,0.2,0,0,0
E203,E204,8,0.1,0,0,0
E204,E205,7,0.2,0,0,0
E205,E206,10,0.3,0,0,0
E206,E207,8,0.2,0,0,0
E211,E212,9,0.4,0,0,0
E403,E404,8,0.2,0,0,0
E404,E405,6,0.1,0,0,0
E405,E406,7,0.2,0,0,0
E406,E407,9,0.3,0,0,0
E411,E412,8,0.2,0,0,0
STAIRS_E1,ELEV_A_E1,5,0.0,1,1,0
STAIRS_E2,ELEV_A_E2,5,0.0,1,1,0
STAIRS_E3,ELEV_A_E3,5,0.0,1,1,0
STAIRS_E4,ELEV_A_E4,5,0.0,1,1,0
E001,STAIRS_E1,5,0.3,1,0,0
E002,STAIRS_E1,5,0.3,1,0,0
E003,STAIRS_E1,5,0.3,1,0,0
E103,STAIRS_E2,5,0.3,1,0,0
E104,STAIRS_E2,5,0.3,1,0,0
E105,STAIRS_E2,5,0.3,1,0,0
E106,STAIRS_E2,5,0.3,1,0,0
E107,STAIRS_E2,5,0.3,1,0,0
E203,STAIRS_E3,5,0.3,1,0,0
E204,STAIRS_E3,5,0.3,1,0,0
E205,STAIRS_E3,5,0.3,1,0,0
E206,STAIRS_E3,5,0.3,1,0,0
TOILET_E1,E001,3,0.1,0,0,0
TOILET_E1,E002,3,0.1,0,0,0
TOILET_E1,E003,3,0.1,0,0,0
TOILET_E2,E103,4,0.2,0,0,0
TOILET_E2,E104,4,0.2,0,0,0
TOILET_E2,E105,4,0.2,0,0,0
TOILET_E3,E203,4,0.2,0,0,0
TOILET_E3,E204,4,0.2,0,0,0
TOILET_E3,E205,4,0.2,0,0,0
TOILET_E4,E403,5,0.3,0,0,0
TOILET_E4,E404,5,0.3,0,0,0
STAIRS_E1,STAIRS_E2,3,0.0,1,0,0
STAIRS_E2,STAIRS_E3,3,0.0,1,0,0
STAIRS_E3,STAIRS_E4,3,0.0,1,0,0
STAIRS_E4,STAIRS_E5,3,0.0,1,0,0
ELEV_A_E1,ELEV_A_E2,5,0.0,0,1,0
ELEV_A_E2,ELEV_A_E3,5,0.0,0,1,0
ELEV_A_E3,ELEV_A_E4,5,0.0,0,1,0
ELEV_A_E4,ELEV_A_E5,5,0.0,0,1,0
ELEV_B_E1,ELEV_B_E2,5,0.0,0,1,0
ELEV_B_E2,ELEV_B_E3,5,0.0,0,1,0
ELEV_B_E3,ELEV_B_E4,5,0.0,0,1,0
ELEV_B_E4,ELEV_B_E5,5,0.0,0,1,0
E111,STAIRS_E2,5,0.3,0,0,0
E112,STAIRS_E2,5,0.3,0,0,0
E125,STAIRS_E2,5,0.3,0,0,0
E207,STAIRS_E3,5,0.3,0,0,0
E211,STAIRS_E3,5,0.3,0,0,0
E212,STAIRS_E3,5,0.3,0,0,0
E403,STAIRS_E5,5,0.3,0,0,0
E404,STAIRS_E5,5,0.3,0,0,0
E405,STAIRS_E5,5,0.3,0,0,0
E406,STAIRS_E5,5,0.3,0,0,0
E403,ELEV_A_E5,6,0.2,0,0,0
E412,ELEV_B_E5,6,0.2,0,0,0
TOILET_E1,ELEV_A_E1,4,0.1,0,0,0
TOILET_E2,ELEV_A_E2,4,0.1,0,0,0
TOILET_E3,ELEV_A_E3,4,0.1,0,0,0
TOILET_E4,ELEV_A_E4,4,0.1,0,0,0
STAIRS_E1,ELEV_B_E1,6,0.1,0,1,0
STAIRS_E2,ELEV_B_E2,6,0.1,0,1,0
STAIRS_E3,ELEV_B_E3,6,0.1,0,1,0
STAIRS_E4,ELEV_B_E4,6,0.1,0,1,0
STAIRS_E5,ELEV_B_E5,6,0.1,0,1,0
E406,E405,7,0.2,0,0,0
E407,E411,5,0.2,0,0,0
E411,STAIRS_E5,6,0.2,0,0,0
E407,STAIRS_E5,8,0.3,0,0,0
