u,v,base_distance,crowd_cost,is_stairs,is_elevator,is_blocked
L201,L202,8,0.3,0,0,0
L202,L203,6,0.2,0,0,0
L203,TOILET_L3,8,0.3,0,0,0
STAIRS_L1,STAIRS_L2,3,0.0,1,0,0
STAIRS_L2,STAIRS_L3,3,0.0,1,0,0
ELEV_A_L1,ELEV_A_L2,5,0.0,0,1,0
ELEV_B_L1,ELEV_B_L2,5,0.0,0,1,0
ELEV_A_L2,ELEV_A_L3,5,0.0,0,1,0
ELEV_B_L2,ELEV_B_L3,5,0.0,0,1,0
L203,STAIRS_L3,8,0.4,1,0,0
L201,L203,10,0.4,0,0,0
L301,L303,10,0.4,0,0,0
L203,STAIRS_L3,8,0.4,1,0,0
L203,ELEV_A_L3,5,0.3,0,1,0
L203,ELEV_B_L3,5,0.3,0,1,0
STAIRS_L3,STAIRS_L4,3,0.0,1,0,0
ELEV_A_L3,ELEV_A_L4,5,0.0,0,1,0
ELEV_B_L3,ELEV_B_L4,5,0.0,0,1,0
L201,STAIRS_L3,8,0.3,0,0,0
L202,STAIRS_L3,8,0.3,0,0,0
L201,ELEV_A_L3,6,0.2,0,1,0
L202,ELEV_A_L3,6,0.2,0,1,0
L301,STAIRS_L4,8,0.3,0,0,0
L303,STAIRS_L4,8,0.3,0,0,0
L301,ELEV_A_L4,6,0.2,0,1,0
L303,ELEV_B_L4,6,0.2,0,1,0
TOILET_L1,STAIRS_L1,5,0.1,0,0,0
TOILET_L2,STAIRS_L2,5,0.1,0,0,0
TOILET_L3,STAIRS_L3,5,0.1,0,0,0
TOILET_L4,STAIRS_L4,5,0.1,0,0,0
STAIRS_L1,ELEV_A_L1,6,0.1,0,1,0
STAIRS_L1,ELEV_B_L1,6,0.1,0,1,0
STAIRS_L2,ELEV_A_L2,6,0.1,0,1,0
STAIRS_L2,ELEV_B_L2,6,0.1,0,1,0
