node_id,name,building,floor,x,y,accessible
B001,"Center for Data Analytics",B,-1,10,30,1
B002,"Computer Lab",B,-1,20,30,1
B013,"Robotics Lab",B,-1,28,28,1
CANTEEN,"Canteen",B,-1,15,20,1
TOILET_B1,"Toilet B-1",B,-1,25,18,1
TOILET_B2,"Toilet B-2",B,1,25,18,1
TOILET_B3,"Toilet B-3",B,2,25,18,1
TOILET_B4,"Toilet B-4",B,3,25,18,1
STAIRS_B1,"Stairs B1",B,-1,18,25,1
ELEV_A_B1,"Elevator A B1",B,-1,12,28,1
ELEV_B_B1,"Elevator B B1",B,-1,30,25,1
B101,"Medium Case 101",B,1,10,30,1
B102,"Medium Case 102",B,1,20,30,1
B103,"Large Case 103",B,1,28,28,1
MAJLIS,"Majlis",B,1,14,24,1
STAIRS_1,"Stairs 1",B,1,18,25,1
ELEV_A_1,"Elevator A 1",B,1,12,28,1
ELEV_B_1,"Elevator B 1",B,1,30,25,1
B201,"Medium Case 201",B,2,10,30,1
B202,"Medium Case 202",B,2,22,30,1
B203,"Large Case 203",B,2,28,28,1
STAIRS_2,"Stairs 2",B,2,18,25,1
ELEV_A_2,"Elevator A 2",B,2,12,28,1
ELEV_B_2,"Elevator B 2",B,2,30,25,1
PARKING,"Parking -2",B,-2,15,20,1
ELEV_A_B2,"Elevator A B2",B,-2,12,25,1
ELEV_B_B2,"Elevator B B2",B,-2,30,20,1
ELEV_A_B3,"Elevator A B3",B,3,12,28,1
ELEV_B_B3,"Elevator B B3",B,3,30,25,1
B301,"Medium Case 301",B,3,10,30,1
B302,"Medium Case 302",B,3,20,30,1
STAIRS_3,"Stairs 3",B,3,18,25,1
