node_id,name,building,floor,x,y,accessible
D007,"Group Study 007",D,-1,10,30,1
D008,"Group Study 008",D,-1,20,30,1
D009,"Group Study 009",D,-1,28,28,1
D010,"Group Study 010",D,-1,15,24,1
D011,"Group Study 011",D,-1,18,22,1
D012,"Group Study 012",D,-1,20,20,1
D015,"Small 015",D,-1,18,18,1
D016,"Small 016",D,-1,25,20,1
D017,"Small 017",D,-1,22,22,1
D018,"Small 018",D,-1,14,20,1
D019,"Small 019",D,-1,28,22,1
D024,"Small Case 024",D,-1,16,26,1
D025,"Small Case 025",D,-1,20,28,1
D026,"Small Case 026",D,-1,22,26,1
D027,"Small Case 027",D,-1,28,24,1
D107,"Large Case 107",D,1,10,30,1
D108,"Medium Case 108",D,1,15,30,1
D109,"Medium Case 109",D,1,22,30,1
D110,"Beshik 110",D,1,18,28,1
D112,"Group Study 112",D,1,10,20,1
D113,"Group Study 113",D,1,15,20,1
D114,"Group Study 114",D,1,20,20,1
D116,"Small 116",D,1,18,22,1
D117,"Small 117",D,1,25,24,1
D118,"Small 118",D,1,22,26,1
D119,"Small 119",D,1,28,28,1
D120,"Small 120",D,1,14,26,1
D122,"Classroom 122",D,1,20,28,1
D207,"Large Case 207",D,2,10,30,1
D208,"Medium Case 208",D,2,15,30,1
D209,"Medium Case 209",D,2,22,30,1
D212,"Group Study 212",D,2,18,28,1
D213,"Group Study 213",D,2,25,28,1
D214,"Group Study 214",D,2,28,26,1
D215,"Group Study 215",D,2,18,22,1
D216,"Small Case 216",D,2,22,28,1
D217,"Small Case 217",D,2,15,24,1
D218,"Small Case 218",D,2,28,24,1
D219,"Small Case 219",D,2,14,28,1
D220,"Small Case 220",D,2,25,22,1
D338,"Faculty 338",D,3,10,30,1
D339,"Faculty 339",D,3,12,30,1
TOILET_D1,"Toilet D-1",D,-1,25,18,1
TOILET_D2,"Toilet D-2",D,1,25,18,1
TOILET_D3,"Toilet D-3",D,2,25,18,1
TOILET_D4,"Toilet D-4",D,3,25,18,1
STAIRS_D1,"Stairs D1",D,-1,18,25,1
STAIRS_D2,"Stairs D2",D,1,18,25,1
STAIRS_D3,"Stairs D3",D,2,18,25,1
ELEV_A_D1,"Elevator A D1",D,-1,12,28,1
ELEV_B_D1,"Elevator B D1",D,-1,30,25,1
ELEV_A_D2,"Elevator A D2",D,1,12,28,1
ELEV_B_D2,"Elevator B D2",D,1,30,25,1
ELEV_A_D3,"Elevator A D3",D,2,12,28,1
ELEV_B_D3,"Elevator B D3",D,2,30,25,1
ELEV_A_D4,"Elevator A D3",D,3,12,28,1
ELEV_B_D4,"Elevator B D3",D,3,30,25,1
STAIRS_D4,"Stairs D3",D,3,18,25,1
