node_id,name,building,floor,x,y,accessible
L201,"Group Study 201",L,2,10,30,1
L202,"Seminar Room 202",L,2,20,30,1
L203,"Group Study 203",L,2,28,28,1
L301,"Group Study 301",L,3,10,28,1
L303,"Group Study 303",L,3,20,28,1
TOILET_L1,"Toilet L-1",L,-1,25,18,1
TOILET_L2,"Toilet L-2",L,1,25,18,1
TOILET_L3,"Toilet L-3",L,2,25,18,1
TOILET_L4,"Toilet L-4",L,3,25,18,1
STAIRS_L1,"Stairs L1",L,-1,18,25,1
STAIRS_L2,"Stairs L2",L,1,18,25,1
STAIRS_L3,"Stairs L3",L,2,18,25,1
ELEV_A_L1,"Elevator A L1",L,-1,12,28,1
ELEV_B_L1,"Elevator B L1",L,-1,30,25,1
ELEV_A_L2,"Elevator A L2",L,1,12,28,1
ELEV_B_L2,"Elevator B L2",L,1,30,25,1
ELEV_A_L3,"Elevator A L3",L,2,12,28,1
ELEV_B_L3,"Elevator B L3",L,2,30,25,1
STAIRS_L4,"Stairs L3 (Floor 3)",L,3,18,25,1
ELEV_A_L4,"Elevator A L3",L,3,12,28,1
ELEV_B_L4,"Elevator B L3",L,3,30,25,1
